Unicode,KcK50l,KcK50d,KcK100l,KcK100d,ScS50d,ScS50d,KcaK50l,KcaK50d,KcaK100l,KcaK100d,ScaS50d,ScaS50d
0x3091,0.8452,0.4267100977,0.8824,0.269874477,0.914,0.8823529412,0.89,0.2377850163,0.904,0.1453974895,0.914,0.2673796791
0x0034,0.9544,0.8260869565,0.9598,0.5041152263,0.928,0.3608247423,0.9204,0.1231884058,0.9483,0.158436214,0.9456,0.2164948454
0x305F,0.9364,0.7165775401,0.9501,0.4838709677,0.9316,0.8,0.9316,0.2406417112,0.9399,0.1272401434,0.96,0.44
0x30D1,0.9284,0.519379845,0.9464,0.3269230769,0.9552,0.9480519481,0.9408,0.1162790698,0.9543,0.1274038462,0.956,0.2337662338
0x0044,0.9644,0.8473684211,0.9618,0.5743034056,0.94,0.7669902913,0.9356,0.3473684211,0.9384,0.1873065015,0.9456,0.3495145631
0x30EE,0.9616,0.5528455285,0.9595,0.3388625592,0.9164,0.1126760563,0.9496,0.2032520325,0.9588,0.182464455,0.9484,0.02816901408
0x3042,0.8388,0.3703703704,0.878,0.178343949,0.8956,0.7298850575,0.8932,0.2481481481,0.9063,0.09299363057,0.9272,0.3965517241
0x308E,0.9212,0.4726368159,0.924,0.333836858,0.9004,0.3557692308,0.918,0.1791044776,0.9287,0.1102719033,0.932,0.1442307692
0x30BE,0.9596,0.7835820896,0.9661,0.4963855422,0.9292,0.5652173913,0.9604,0.3208955224,0.9641,0.2144578313,0.9612,0.2028985507
0x004E,0.9732,0.9401709402,0.9397,0.4471086037,0.9068,0.5555555556,0.9244,0.3888888889,0.9255,0.1889985896,0.9516,0.4444444444
0x3057,0.9224,0.2523364486,0.9501,0.1590909091,0.97,1,0.9396,0.06542056075,0.9609,0.08441558442,0.9832,0.619047619
0x3079,0.9112,0.3671875,0.9397,0.1688654354,0.9216,0.3181818182,0.9284,0.0234375,0.9535,0.05540897098,0.9508,0
0x3084,0.9048,0.4848484848,0.9267,0.3043478261,0.938,0.9473684211,0.9164,0.1919191919,0.9344,0.1170568562,0.9604,0.4824561404
0x30B4,0.9224,0.487804878,0.9394,0.2755905512,0.92,0.5625,0.9304,0.1951219512,0.9451,0.1122047244,0.9508,0.4270833333
0x304C,0.9136,0.6486486486,0.9247,0.3483670295,0.8876,0.564516129,0.9096,0.2027027027,0.927,0.09953343701,0.944,0.3387096774
0x0051,0.9428,0.7375,0.9505,0.523364486,0.9288,0.7716535433,0.9252,0.3458333333,0.9423,0.2736982644,0.9236,0.1968503937
0x30E4,0.9732,0.9146341463,0.9695,0.6150627615,0.9496,0.9207920792,0.9472,0.3170731707,0.9648,0.2991631799,0.96,0.3861386139
0x30D8,0.9548,0.5588235294,0.9599,0.25,0.9296,0,0.9472,0.08823529412,0.9665,0.1118421053,0.9604,0
0x30C8,0.9756,0.7962962963,0.9514,0.1238095238,0.9692,0.5053763441,0.9592,0.3148148148,0.966,0.1968253968,0.958,0.4086021505
0x3065,0.9256,0.5508982036,0.9386,0.2983870968,0.9384,0.8222222222,0.9408,0.2814371257,0.9473,0.125,0.9588,0.3888888889
0x307A,0.9164,0.4315068493,0.9349,0.2061611374,0.9256,0.4691358025,0.922,0.02054794521,0.9489,0.07582938389,0.9424,0.04938271605
0x30F6,0.9576,0.6776859504,0.9673,0.4593837535,0.9092,0.164556962,0.9456,0.132231405,0.9662,0.1932773109,0.9452,0.07594936709
0x0063,0.9256,0.3071428571,0.9497,0.2105263158,0.9388,0.1090909091,0.9344,0.1142857143,0.9539,0.07655502392,0.9632,0.05454545455
0x30A6,0.9148,0.4583333333,0.94,0.3271028037,0.9556,0.9058823529,0.928,0.1666666667,0.9359,0.07102803738,0.962,0.3882352941
0x30F5,0.934,0.5666666667,0.9473,0.3333333333,0.9136,0.43,0.9424,0.22,0.9505,0.135021097,0.932,0.13
0x307B,0.8728,0.5053380783,0.888,0.2388613861,0.916,0.8300653595,0.8656,0.128113879,0.9144,0.150990099,0.9312,0.4444444444
0x30A5,0.934,0.4306569343,0.9409,0.1748768473,0.9148,0.1538461538,0.936,0.1094890511,0.9504,0.03694581281,0.948,0.07692307692
0x3048,0.9204,0.6842105263,0.9429,0.4747634069,0.9264,0.6754385965,0.9336,0.2789473684,0.9404,0.1813880126,0.9516,0.3245614035
0x3066,0.9036,0.3411764706,0.9182,0.06896551724,0.9092,0.3333333333,0.9132,0.06470588235,0.9387,0.02839756592,0.9456,0.1222222222
0x3087,0.9164,0.3666666667,0.9376,0.161971831,0.9108,0.2777777778,0.9316,0.1466666667,0.9497,0.07981220657,0.9496,0.2111111111
0x30B7,0.9336,0.4504504505,0.9546,0.2866043614,0.9552,0.9516129032,0.9532,0.1981981982,0.9633,0.09345794393,0.9712,0.3548387097
0x0052,0.9108,0.5287958115,0.9206,0.2621082621,0.9308,0.6417910448,0.9408,0.3926701571,0.9309,0.2136752137,0.912,0.1119402985
0x30E7,0.9268,0.4423076923,0.9463,0.2797356828,0.9136,0.1774193548,0.9404,0.2628205128,0.9529,0.1475770925,0.9192,0.1129032258
0x3054,0.9124,0.3235294118,0.9377,0.1846153846,0.9104,0.2027027027,0.9332,0.08088235294,0.9521,0.06153846154,0.9512,0.08108108108
0x30DC,0.9272,0.6941747573,0.933,0.3882175227,0.8848,0.525,0.9184,0.2087378641,0.9364,0.16918429,0.9244,0.35
0x004F,0.958,0.776744186,0.9693,0.6069802731,0.9568,0.9626168224,0.9376,0.376744186,0.9479,0.2564491654,0.952,0.4018691589
0x30CC,0.9268,0.5748502994,0.9389,0.3347280335,0.9072,0.4361702128,0.9308,0.2035928144,0.9486,0.1506276151,0.9304,0.07446808511
0x3041,0.914,0.6028708134,0.9189,0.2889245586,0.8776,0.3846153846,0.92,0.2153110048,0.9341,0.1524879615,0.9148,0.2051282051
0x30EF,0.932,0.5029239766,0.9402,0.2418032787,0.9204,0.3908045977,0.9264,0.1754385965,0.945,0.09221311475,0.9388,0.1034482759
